Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE MONTMAJOUR,2012,ARLES,AIX-MARSEILLE,PU,95,79,96,90,85,89
LYCEE BRISTOL,2017,CANNES,NICE,PU,84,84,75,87,87,81
LYCEE MARGUERITE DE NAVARRE,2017,BOURGES,ORLEANS-TOURS,PU,89,94,91,94,93,97
LYCEE FULBERT,2017,CHARTRES,ORLEANS-TOURS,PU,88,88,89,93,88,91
LYCEE NOTRE DAME,2017,CHARTRES,ORLEANS-TOURS,PR,100,97,96,95,96,98
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.),2017,DREUX,ORLEANS-TOURS,PU,94,98,97,94,93,94
LYCEE ROLLINAT,2017,ARGENTON SUR CREUSE,ORLEANS-TOURS,PU,100,82,88,96,83,93
LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.),2017,ORLEANS,ORLEANS-TOURS,PU,68,80,93,82,82,90
LYCEE POTHIER,2017,ORLEANS,ORLEANS-TOURS,PU,88,83,87,94,90,92
LYCEE TURGOT,2017,PARIS 03,PARIS,PU,94,92,92,96,92,89
LYCEE LOUIS LE GRAND,2017,PARIS 05,PARIS,PU,100,,100,100,,99
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.),2017,PARIS 15,PARIS,PU,,54,71,,82,73
LYCEE L'ASSOMPTION,2017,PARIS 16,PARIS,PR,100,100,100,97,96,96
LYCEE LA TOUR,2017,PARIS 16,PARIS,PR,100,100,100,98,98,98
LYCEE BELLEVUE,2017,SAINTES,POITIERS,PU,100,98,99,95,95,95
LYCEE JOSEPH DESFONTAINES,2017,MELLE,POITIERS,PU,85,90,91,96,94,93
LYCEE GASTON BACHELARD (GENERAL ET TECHNO.),2017,BAR SUR AUBE,REIMS,PU,89,94,86,86,88,87
LYCEE EUROPEEN STEPHANE HESSEL (GENERAL ET TECHNO.),2017,EPERNAY,REIMS,PU,95,87,85,88,88,90
LYCEE ST SEBASTIEN,2017,LANDERNEAU,RENNES,PR,100,100,98,96,95,97
LYCEE RENE LAENNEC,2017,PONT L ABBE,RENNES,PU,83,81,94,94,91,94
LYCEE JEAN BRITO,2017,BAIN DE BRETAGNE,RENNES,PU,94,91,96,96,95,95
LYCEE PORTE DE NORMANDIE,2017,VERNEUIL D AVRE ET D ITON,ROUEN,PU,90,83,95,95,88,94
LYCEE LA PROVIDENCE,2017,FECAMP,ROUEN,PR,100,90,95,96,92,94
LYCEE LA DECOUVERTE (GENERAL ET TECHNO.),2017,DECAZEVILLE,TOULOUSE,PU,100,86,100,95,93,96
LYCEE BOSSUET,2017,CONDOM,TOULOUSE,PU,94,93,89,95,93,94
LYCEE D'ARTAGNAN (GENERAL ET TECHNO.),2017,NOGARO,TOULOUSE,PU,93,96,97,95,95,97
LYCEE DES ARENES,2017,TOULOUSE,TOULOUSE,PU,85,80,93,93,88,90
LYCEE LES MARISTES TOULOUSE (GENERAL ET TECHNO.),2017,TOULOUSE,TOULOUSE,PR,89,93,91,,90,90
LYCEE OZENNE,2017,TOULOUSE,TOULOUSE,PU,97,94,96,96,96,98
LYCEE MICHELET,2017,LANNEMEZAN,TOULOUSE,PU,90,93,94,90,89,93
LYCEE LA SERRE DE SARSAN,2017,LOURDES,TOULOUSE,PU,92,94,91,87,89,93
LYCEE SACRE COEUR,2017,LA VILLE DU BOIS,VERSAILLES,PR,100,100,99,98,97,97
LYCEE DESCARTES,2017,ANTONY,VERSAILLES,PU,91,89,94,95,92,94
LYCEE LA SOURCE,2017,MEUDON,VERSAILLES,PR,100,100,100,98,97,98
LYCEE PAUL LANGEVIN,2017,SURESNES,VERSAILLES,PU,96,91,85,90,92,92
LYCEE CAMILLE SAINT-SAENS,2017,DEUIL LA BARRE,VERSAILLES,PU,95,80,93,88,84,84
LYCEE VAN GOGH,2017,ERMONT,VERSAILLES,PU,83,86,87,93,88,89
LYCEE DUMONT D'URVILLE (GENERAL ET TECHNO.),2017,MAUREPAS,VERSAILLES,PU,80,69,88,83,84,88
LYCEE ST ELOI (GENERAL ET TECHNO.),2018,AIX EN PROVENCE,AIX-MARSEILLE,PR,,,80,,,85
LYCEE MONTMAJOUR,2018,ARLES,AIX-MARSEILLE,PU,98,83,89,92,87,92
LYCEE CHARLES PEGUY (GENERAL ET TECHNO.),2018,MARSEILLE 06,AIX-MARSEILLE,PR,,43,,,77,
LYCEE NOTRE DAME DE SION,2018,MARSEILLE 06,AIX-MARSEILLE,PR,100,100,97,97,95,95
LYCEE REMPART (RUE DU),2018,MARSEILLE 07,AIX-MARSEILLE,PU,,56,87,,77,86
LYCEE PROVENCE (DE),2018,MARSEILLE 08,AIX-MARSEILLE,PR,100,100,100,,99,99
LYCEE AMEP (GENERAL ET TECHNO.),2018,FORT DE FRANCE,MARTINIQUE,PR,100,86,90,86,71,69
LYCEE VICTOR SCHOELCHER,2018,FORT DE FRANCE,MARTINIQUE,PU,94,89,89,80,89,80
LYCEE ADVENTISTE RAMA (GENERAL ET TECHNO.),2018,STE LUCE,MARTINIQUE,PR,,89,96,,92,89
LYCEE DU NORD (GENERAL ET TECHNO.),2018,ACOUA,MAYOTTE,PU,72,49,69,,,
LYCEE DE SADA (GENERAL ET TECHNO.),2018,SADA,MAYOTTE,PU,95,89,90,,,
LYCEE JULES FIL (GENERAL ET TECHNO.),2018,CARCASSONNE,MONTPELLIER,PU,87,92,95,89,93,91
LYCEE ROSA LUXEMBURG (GENERAL ET TECHNO.),2018,CANET EN ROUSSILLON,MONTPELLIER,PU,89,87,96,92,92,94
LYCEE DE LA COMMUNICATION,2018,METZ,NANCY-METZ,PU,90,89,85,93,89,87
LYCEE LOUIS LAPICQUE,2018,EPINAL,NANCY-METZ,PU,86,76,73,92,88,91
LYCEE JOUBERT-EMILIEN MAILLARD (GENERAL ET TECHNO.),2018,ANCENIS,NANTES,PU,100,90,89,94,97,94
LYCEE JULES VERNE,2018,NANTES,NANTES,PU,97,93,98,97,97,97
LYCEE EMMANUEL MOUNIER,2018,ANGERS,NANTES,PU,93,93,95,98,95,95
LYCEE ST MARTIN,2018,ANGERS,NANTES,PR,100,94,95,96,97,97
LYCEE ROSA PARKS (GENERAL ET TECHNO.),2018,LA ROCHE SUR YON,NANTES,PU,,85,94,,92,95
LYCEE L'ASSOMPTION,2018,PARIS 16,PARIS,PR,100,100,100,98,97,96
LYCEE LA SALLE SAINT LOUIS,2018,PONT L ABBE D ARNOULT,POITIERS,PR,100,100,100,98,97,97
LYCEE VENISE VERTE,2018,NIORT,POITIERS,PU,96,89,98,92,95,96
LYCEE JEAN MOULIN (GENERAL ET TECHNO.),2018,REVIN,REIMS,PU,85,85,67,84,78,85
LYCEE COLBERT,2018,REIMS,REIMS,PU,85,82,79,78,84,82
LYCEE ST JOSEPH,2018,LAMBALLE,RENNES,PR,100,96,97,98,95,97
LYCEE EUGENE FREYSSINET,2018,ST BRIEUC,RENNES,PU,88,99,91,96,93,94
LYCEE PIERRE GUEGUIN (GENERAL ET TECHNO.),2018,CONCARNEAU,RENNES,PU,100,86,95,,94,93
LYCEE EMILE ZOLA,2018,RENNES,RENNES,PU,93,97,92,97,96,97
LYCEE PIERRE MENDES FRANCE (GENERAL ET TECHNO.),2018,RENNES,RENNES,PU,71,89,97,,91,96
LYCEE SAINT ADJUTOR,2018,VERNON,ROUEN,PR,100,93,100,97,94,97
LYCEE LA PROVIDENCE,2018,DIEPPE,ROUEN,PR,100,96,96,,97,97
LYCEE ANGUIER (GENERAL ET TECHNO.),2018,EU,ROUEN,PU,87,86,88,95,93,94
LYCEE LOUIS COUFFIGNAL (GENERAL ET TECHNO.),2018,STRASBOURG,STRASBOURG,PU,,,84,,,92
LYCEE JEAN VIGO,2018,MILLAU,TOULOUSE,PU,91,93,96,88,94,95
LYCEE BOSSUET,2018,CONDOM,TOULOUSE,PU,100,80,90,96,96,97
LYCEE MASSILLON,2017,CLERMONT FERRAND,CLERMONT-FERRAND,PR,100,100,100,97,98,98
LYCEE MURAT,2017,ISSOIRE,CLERMONT-FERRAND,PU,95,92,89,95,91,93
LYCEE LA FAYETTE (GENERAL ET TECHNO.),2017,CHAMPAGNE SUR SEINE,CRETEIL,PU,,,82,,,83
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.),2017,CRETEIL,CRETEIL,PU,,,90,,,87
LYCEE OZAR HATORAH FILLES,2017,CRETEIL,CRETEIL,PR,,100,100,,91,94
LYCEE OZAR HATORAH GARCONS,2017,CRETEIL,CRETEIL,PR,,79,92,,64,84
LYCEE PIERRE GILLES DE GENNES (GENERAL ET TECHNO.),2017,COSNE COURS SUR LOIRE CEDE,DIJON,PU,64,81,95,88,91,92
LYCEE LÉON BLUM (GENERAL ET TECHNO.),2017,LE CREUSOT,DIJON,PU,78,87,83,92,92,95
LYCEE EMILE LOUBET,2017,VALENCE,GRENOBLE,PU,98,91,94,95,94,96
LYCEE L'OISELET,2017,BOURGOIN JALLIEU,GRENOBLE,PU,95,90,94,91,91,91
LYCEE GERVILLE REACHE,2017,BASSE TERRE,GUADELOUPE,PU,95,98,92,91,90,91
LYCEE FELIX EBOUE,2017,CAYENNE,GUYANE,PU,84,92,89,83,78,80
LYCEE ROLAND GARROS (GENERAL ET TECHNO.),2017,LE TAMPON,LA REUNION,PU,87,98,90,86,91,92
LYCEE BEL AIR (GENERAL ET TECHNO.),2017,STE SUZANNE,LA REUNION,PU,89,93,89,91,76,85
LYCEE DUPLEIX,2017,LANDRECIES,LILLE,PU,94,100,80,92,81,89
LYCEE JEAN PROUVE,2017,LOMME,LILLE,PU,,,95,,,88
LYCEE DU HAINAUT,2017,VALENCIENNES,LILLE,PU,,,69,,,85
LYCEE PABLO PICASSO (GENERAL ET TECHNO.),2017,AVION,LILLE,PU,71,86,55,86,85,65
LYCEE SAINT JOSEPH,2017,ST MARTIN BOULOGNE,LILLE,PR,,,81,,,86
ENSEMBLE SCOLAIRE LAMARTINE,2017,BELLEY,LYON,PR,100,100,90,,,91
LYCEE ARAGON-PICASSO (GENERAL ET TECHNO.),2017,GIVORS,LYON,PU,88,92,94,90,92,93
LYCEE LA FAVORITE SAINTE THERESE,2017,LYON 05,LYON,PR,100,98,99,98,98,98
LYCEE RAYMOND POINCARE,2017,BAR LE DUC,NANCY-METZ,PU,76,96,91,94,95,96
LYCEE LA MENNAIS,2017,GUERANDE,NANTES,PR,88,79,94,95,92,93
LYCEE GRAND AIR,2017,LA BAULE,NANTES,PU,93,87,91,93,95,96
LYCEE IMMACULEE CONCEPTION,2017,LAVAL,NANTES,PR,100,96,100,95,97,98
LYCEE REAUMUR,2017,LAVAL,NANTES,PU,,,100,,,94
LYCEE NOTRE DAME,2017,LE MANS,NANTES,PR,96,95,93,97,97,96
LYCEE GEORGES CLEMENCEAU,2017,CHANTONNAY,NANTES,PU,78,90,83,87,91,88
LYCEE ALEXANDRE RIBOT,2016,ST OMER,LILLE,PU,98,98,86,96,95,91
LYCEE JEANNE HACHETTE,2016,BEAUVAIS,AMIENS,PU,95,97,91,93,93,93
LYCEE JEAN ROSTAND,2016,CHANTILLY,AMIENS,PU,87,85,91,95,95,95
LYCEE ALAIN CHARTIER,2016,BAYEUX,CAEN,PU,89,,87,94,,94
LYCEE AUGUSTE CHEVALIER,2016,DOMFRONT EN POIRAIE,CAEN,PU,100,94,84,,92,96
LYCEE GALILEE (GENERAL ET TECHNO.),2016,FRANQUEVILLE ST PIERRE,ROUEN,PU,96,85,95,95,95,96
LYCEE NOTRE DAME,2016,GUINGAMP,RENNES,PR,82,100,96,96,95,94
LYCEE JULES LESVEN,2016,BREST,RENNES,PU,,89,,,95,
LYCEE SAINT BLAISE,2016,DOUARNENEZ,RENNES,PR,94,97,94,94,93,95
LYCEE ST ESPRIT,2016,LANDIVISIAU,RENNES,PR,91,100,96,96,96,94
